lat_pred,lon_pred,pontoId
-8.07018679338843,-34.88741399019608,1750.0
-8.069885438016529,-34.8953084117647,1339.0
-8.07078950413223,-34.899789029411764,2831.0
-8.072898991735537,-34.89829549019608,1060.0
-8.071693570247934,-34.89125451960784,1162.0
-8.070036115702479,-34.89509504901961,1225.0
-8.071542892561983,-34.89850885294118,392.0
-8.073351024793388,-34.88890752941177,2303.0
-8.073351024793388,-34.89850885294118,201.0
-8.073351024793388,-34.89872221568628,180.0
-8.070638826446281,-34.889974343137254,1270.0
-8.071844247933884,-34.8963752254902,742.0
-8.065666462809917,-34.904056284313725,2764.0
-8.069282727272727,-34.90106920588235,2496.0
-8.073200347107438,-34.8957351372549,1502.0
-8.071392214876033,-34.89808212745098,798.0
-8.070488148760331,-34.8963752254902,1155.0
-8.07018679338843,-34.89680195098039,2037.0
-8.069282727272727,-34.8959485,1552.0
-8.07078950413223,-34.88784071568627,1915.0
-8.070940181818182,-34.89744203921568,1936.0
-8.074707123966942,-34.90149593137255,583.0
-8.07425509090909,-34.899575666666664,663.0
-8.067323917355372,-34.88784071568627,1839.0
-8.071844247933884,-34.88656053921569,2551.0
-8.068680016528926,-34.89786876470588,2358.0
-8.071844247933884,-34.90021575490196,2893.0
-8.072898991735537,-34.89701531372549,218.0
-8.07018679338843,-34.8953084117647,1384.0
-8.072446958677686,-34.89893557843137,360.0
-8.072898991735537,-34.900002392156864,1098.0
-8.071392214876033,-34.901709294117644,122.0
-8.07018679338843,-34.88762735294117,2044.0
-8.073200347107438,-34.900002392156864,557.0
-8.071241537190083,-34.89744203921568,2314.0
-8.068830694214876,-34.90256274509804,2762.0
-8.071090859504132,-34.89872221568628,2235.0
-8.06973476033058,-34.896588588235296,2014.0
-8.072597636363636,-34.8953084117647,786.0
-8.072296280991736,-34.900002392156864,37.0
-8.05948867768595,-34.90683,2829.0
-8.072446958677686,-34.8953084117647,1006.0
-8.06973476033058,-34.89701531372549,1476.0
-8.071241537190083,-34.88784071568627,1832.0
-8.071241537190083,-34.89445496078432,1697.0
-8.069132049586777,-34.901709294117644,2625.0
-8.071693570247934,-34.89829549019608,720.0
-8.071994925619835,-34.89765540196078,1084.0
-8.071392214876033,-34.896161862745096,1049.0
-8.075008479338843,-34.900002392156864,617.0
-8.072446958677686,-34.88677390196079,2318.0
-8.071542892561983,-34.896161862745096,2073.0
-8.07440576859504,-34.901709294117644,522.0
-8.070036115702479,-34.8955217745098,1118.0
-8.070488148760331,-34.90021575490196,2711.0
-8.07410441322314,-34.89808212745098,230.0
-8.06717323966942,-34.89765540196078,2257.0
-8.075460512396694,-34.88656053921569,2830.0
-8.071241537190083,-34.889760980392154,542.0
-8.068680016528926,-34.899575666666664,2500.0
-8.068830694214876,-34.89744203921568,2281.0
-8.070036115702479,-34.89786876470588,2117.0
-8.068981371900826,-34.89893557843137,2165.0
-8.071542892561983,-34.90064248039216,1145.0
-8.069132049586777,-34.902136019607845,2700.0
-8.072145603305785,-34.89808212745098,342.0
-8.071392214876033,-34.89701531372549,2460.0
-8.072748314049587,-34.899575666666664,1107.0
-8.070940181818182,-34.896588588235296,1889.0
-8.071844247933884,-34.900002392156864,795.0
-8.072597636363636,-34.896588588235296,2139.0
-8.073501702479339,-34.89765540196078,134.0
-8.069584082644628,-34.89786876470588,1835.0
-8.07395373553719,-34.89914894117647,6.0
-8.073200347107438,-34.901922656862745,311.0
-8.073200347107438,-34.89936230392157,1004.0
-8.073652380165289,-34.89786876470588,181.0
-8.07380305785124,-34.89829549019608,22.0
-8.06973476033058,-34.90021575490196,2532.0
-8.07395373553719,-34.89765540196078,142.0
-8.07410441322314,-34.89914894117647,715.0
-8.07033747107438,-34.900002392156864,2571.0
-8.072446958677686,-34.8963752254902,2149.0
-8.07078950413223,-34.90106920588235,2676.0
-8.070488148760331,-34.88656053921569,1932.0
-8.071241537190083,-34.894028235294115,1018.0
-8.069433404958678,-34.8963752254902,632.0
-8.070940181818182,-34.89722867647059,1213.0
-8.071392214876033,-34.89509504901961,729.0
-8.073501702479339,-34.90021575490196,534.0
-8.070638826446281,-34.90042911764706,2598.0
-8.071392214876033,-34.89850885294118,1091.0
-8.06973476033058,-34.8963752254902,1279.0
-8.05948867768595,-34.90683,246.0
-8.070488148760331,-34.88762735294117,1667.0
-8.071241537190083,-34.8957351372549,977.0
-8.072296280991736,-34.899789029411764,1117.0
-8.070036115702479,-34.89701531372549,2033.0
-8.07380305785124,-34.90042911764706,309.0
-8.07018679338843,-34.8957351372549,1318.0
-8.07440576859504,-34.89850885294118,668.0
-8.07033747107438,-34.896161862745096,1805.0
-8.07425509090909,-34.89936230392157,21.0
-8.073351024793388,-34.89701531372549,2586.0
-8.071542892561983,-34.900002392156864,1122.0
-8.071090859504132,-34.89701531372549,2344.0
-8.068529338842975,-34.89936230392157,2217.0
-8.070036115702479,-34.89701531372549,1669.0
-8.068077305785124,-34.89722867647059,1449.0
-8.073652380165289,-34.89808212745098,163.0
-8.07033747107438,-34.901922656862745,2914.0
-8.072296280991736,-34.90128256862745,290.0
-8.069584082644628,-34.8959485,1348.0
-8.071392214876033,-34.901922656862745,1508.0
-8.071693570247934,-34.8957351372549,817.0
-8.071542892561983,-34.896161862745096,962.0
